codigo_producto,cantidad,bodega,valor_unitario
21011018,800,ALMACEN NIVEL 2,1200.99
T4024,65,Sin Asignar,12605.01
72242001412,420,ALMACEN NIVEL 1,500
72213000620,986,ALMACEN NIVEL 1,173
66031000018,2910,ALMACEN NIVEL 1,896.92
T4014,12,Sin Asignar,27481.82
55013000,106,ALMACEN NIVEL 1,33832.97
P8006,437,Sin Asignar,41019.54
I5056,17800,Sin Asignar,302.51
D3016,9687,Sin Asignar,1767.92
D3002,1742,Sin Asignar,18109.07
F0007,88,Sin Asignar,98961.25
10318700,4,ALMACEN NIVEL 1,15050
M2008,342,Sin Asignar,77831.76
10109100,758,ALMACEN NIVEL 2,2006.25
S1005,96,Sin Asignar,30750
111021003,12,MADERAS,47880.54
121010100,11,AUDIO Y VIDEO,163636.36
TO7073,2000,Sin Asignar,486.4
33015000,9,ALMACEN NIVEL 2,64632.24
TO7035,18908,Sin Asignar,930.48
10323100,20,ALMACEN NIVEL 3,1125
66031000018,86,METALMECANICA,896.92
I5002,24322,Sin Asignar,305.34
PM101,662,Sin Asignar,2750
F0002,237,Sin Asignar,94757.85
10348600,501,DESCANSABRAZOS,8868.24
TO704,3100,Sin Asignar,110
F011,13,Sin Asignar,358930
23011018,39,ALMACEN NIVEL 2,2771.41
TO7077,2200,Sin Asignar,46.36
P8001,5290,Sin Asignar,41743.02
74413000006,191,ALMACEN NIVEL 1,30.46
54023000,203,ALMACEN NIVEL 1,75042.02
43041000,200,ALMACEN NIVEL 1,2647.89
53035000,600,ALMACEN NIVEL 1,364
91032000,90,DESCANSABRAZOS,19000
P8022,1221,Sin Asignar,34130.99
51015020,15700,ALMACEN NIVEL 2,17.32
P801,1250,Sin Asignar,46108
PM1015,183,Sin Asignar,7047.18
I5051,15400,Sin Asignar,297.6
111051012,17,MADERAS,113445.38
D3019,608,Sin Asignar,13656.41
I5020,12305,Sin Asignar,1251.26
72241000082,1220,ALMACEN NIVEL 1,98.95
I5125,19,Sin Asignar,109460.63
PM1010,15132,Sin Asignar,1044.42
M201,135,Sin Asignar,97261.03
73313000516,734,ALMACEN NIVEL 1,584.71
26011012,61,ALMACEN NIVEL 2,6546
41141000,1124,ALMACEN NIVEL 1,2237.3
10123200,280,ALMACEN NIVEL 3,6939.81
PM1022,3989,Sin Asignar,3080.61
TO7069,4123,Sin Asignar,99
10050,114,Sin Asignar,75630.25
35061000,6,ALMACEN NIVEL 1,1188000
PM1013,1863,Sin Asignar,2281.19
53055000,1000,ALMACEN NIVEL 1,364
I5014,260,Sin Asignar,548649.23
TO7040,18940,Sin Asignar,81.63
TO7032,3640,Sin Asignar,129.68
10363400,200,ALMACEN NIVEL 2,190
10107200,3,ALMACEN NIVEL 2,464500
P8014,1161,Sin Asignar,37217.67
TO701,3850,Sin Asignar,140
TO7002,14810,Sin Asignar,82.01
51021040,65000,ALMACEN NIVEL 2,12.66
25052012,85,ALMACEN NIVEL 2,46200
10401100,28,ALMACEN NIVEL 2,29226.65
85031000,558,METALMECANICA,4009.05
61011112316,53,METALMECANICA,61271.01
TO7093,1810,Sin Asignar,351.33
TO7052,2640,Sin Asignar,45.08
72252000812,896,ALMACEN NIVEL 1,34.58
10106100,37,ALMACEN NIVEL 2,9512.75
PM1019,4063,Sin Asignar,1486.6
T4054,50,Sin Asignar,21874.79
95011000,850,DESCANSABRAZOS,0
P8024,273,Sin Asignar,31202.68
72213000635,1060,ALMACEN NIVEL 1,190
72232316114,377,ALMACEN NIVEL 1,250
55023000,211,ALMACEN NIVEL 1,57682.67
D301,3005,Sin Asignar,1762.2
10341600,200,Sin Asignar,3009.52
CL4007,8306,Sin Asignar,2179.26
PM105,3188,Sin Asignar,1678.41
P8032,39,Sin Asignar,179076
74412000316,713,ALMACEN NIVEL 1,31.93
CL4005,7202,Sin Asignar,1253.29
S1008,1369,Sin Asignar,11603.45
72211071620,156,ALMACEN NIVEL 1,1054.66
F0029,58,Sin Asignar,69334
41022000,1041,ALMACEN NIVEL 1,810
TO724,1300,Sin Asignar,40.77
F0013,3,Sin Asignar,72303
72232316112,16,ALMACEN NIVEL 1,250
T4045,21,Sin Asignar,34695.41
T4061,3,Sin Asignar,35462.18
10349600,21,ALMACEN NIVEL 1,2150
D3009,250,Sin Asignar,18116
35055000,3,ALMACEN NIVEL 1,22268.57
72211516114,52,ALMACEN NIVEL 1,250
10134100,304,ALMACEN NIVEL 1,411.14
I5057,6100,Sin Asignar,295.38
P809,15,Sin Asignar,34800
TO7015,22800,Sin Asignar,49
M2003,362,Sin Asignar,47542.21
P812,5,Sin Asignar,29412
TO7087,2737,Sin Asignar,169.43
10365100,4,ALMACEN NIVEL 3,611161.39
41052000,243,ALMACEN NIVEL 1,733.05
41101000,217,ALMACEN NIVEL 1,1100
TO707,1000,Sin Asignar,56
12011000,3,ALMACEN NIVEL 3,99500
T4030,12,Sin Asignar,28992
64011000014,90,METALMECANICA,5686
T4013,4300,Sin Asignar,420
27014012,84,ALMACEN NIVEL 2,580.19
TO711,10,Sin Asignar,4500
TO7049,654,Sin Asignar,3230.58
72213000850,265,ALMACEN NIVEL 1,250
F0021,235,Sin Asignar,202891.23
TO715,2700,Sin Asignar,45.11
I5035,5924,Sin Asignar,39202.23
D3004,9232,Sin Asignar,6461.06
TO7039,1275,Sin Asignar,9998.62
I5053,17500,Sin Asignar,294.63
F010,5,Sin Asignar,388600
F002,52,Sin Asignar,101531.15
TO720,600,Sin Asignar,40
72261000142,68,ALMACEN NIVEL 1,910
10110500,845,ALMACEN NIVEL 2,1400
I5020,400,ALMACEN NIVEL 2,1251.26
72211014114,200,ALMACEN NIVEL 1,140
TO7048,20,Sin Asignar,2440
TO7051,200,Sin Asignar,58
P8010,114,Sin Asignar,26109.52
T4053,6,Sin Asignar,31764.7
I5028,5623,Sin Asignar,1628.41
72222000034,1600,ALMACEN NIVEL 1,52
T4047,900,Sin Asignar,2104.57
34044000,4,ALMACEN NIVEL 1,18389.33
D3015,13168,Sin Asignar,1800
10103100,13,ALMACEN NIVEL 1,7290
F001,52,Sin Asignar,48989
TO7034,3600,Sin Asignar,70.24
P805,130,Sin Asignar,10734.46
I503,120,Sin Asignar,10800
T4002,99,Sin Asignar,80341.21
84011000,468,METALMECANICA,2996
I5005,17070,Sin Asignar,21015.61
73322000038,2200,ALMACEN NIVEL 1,140
P8031,5,Sin Asignar,197479
T4028,1,Sin Asignar,11764.7
16072000,5,ALMACEN NIVEL 2,464500
TO7085,2440,Sin Asignar,98.52
10321600,5,ALMACEN NIVEL 2,9945.97
T4103,2,Sin Asignar,67731.09
25062005,300,ALMACEN NIVEL 2,864.88
TO7022,8500,Sin Asignar,55.51
93032000,2037,DESCANSABRAZOS,528.19
53075000,900,ALMACEN NIVEL 1,367.42
91021000,325,DESCANSABRAZOS,20140
18081172,3,ALMACEN NIVEL 3,101520
10345800,11,ALMACEN NIVEL 2,35818.18
I5016,4340,Sin Asignar,15226.02
TO718,1100,Sin Asignar,59.27
66011000000,55,METALMECANICA,49352
PM1007,14353,Sin Asignar,2576.51
T4106,2,Sin Asignar,64706
63041000000,70,METALMECANICA,9044.47
T4027,2,Sin Asignar,11765
55083001,75,ALMACEN NIVEL 2,1702.52
35084000,3,ALMACEN NIVEL 1,20843.64
F0023,458,Sin Asignar,8449.13
P8036,13,Sin Asignar,23356.23
T4017,78,Sin Asignar,14359.08
72222000002,386,ALMACEN NIVEL 1,116.73
P8004,464,Sin Asignar,33413.7
T4031,30,Sin Asignar,30250.42
P8028,87,Sin Asignar,76559.81
73342000014,50,ALMACEN NIVEL 1,100
I5015,382,Sin Asignar,9120.66
TO7044,9840,Sin Asignar,96.59
TO713,600,Sin Asignar,197
P8019,17,Sin Asignar,134975.47
24022018,592,ALMACEN NIVEL 1,430
TO7057,6581,Sin Asignar,867.19
10320600,8,ALMACEN NIVEL 2,14206.01
P8015,488,Sin Asignar,186599.13
P8021,246,Sin Asignar,34247.28
I505,480,Sin Asignar,24268
TO7043,26208,Sin Asignar,91.44
29011140,900,ALMACEN NIVEL 2,647
T4038,50,Sin Asignar,750
24021018,16,ALMACEN NIVEL 1,430
11071172,8,ALMACEN NIVEL 3,72801.03
10341600,400,ALMACEN NIVEL 2,3009.52
72222008112,418,ALMACEN NIVEL 1,82.08
TO7003,1204,Sin Asignar,122.88
10319600,8,ALMACEN NIVEL 3,202357.87
25073003,100,ALMACEN NIVEL 2,924
F0027,1534,Sin Asignar,41183.31
I5068,269,Sin Asignar,10707.81
32011000,8,Sin Asignar,69318.61
PM1011,421,Sin Asignar,298
I508,319,Sin Asignar,69104.08
72221000834,200,ALMACEN NIVEL 1,61
111041009,23,MADERAS,82352.94
TO7080,1300,Sin Asignar,673.08
10368124,9,DESCANSABRAZOS,54000
I5007,1283,Sin Asignar,29196.62
10144100,6,ALMACEN NIVEL 3,150000
I5009,210,Sin Asignar,52060.51
10307600,14,ALMACEN NIVEL 1,3341.28
I5038,9500,Sin Asignar,2642.11
P8035,26,Sin Asignar,348651.23
10403100,179,ALMACEN NIVEL 2,76488
10334600,21,ALMACEN NIVEL 1,6499.94
I5047,330,Sin Asignar,7172.73
CL4006,6076,Sin Asignar,1482.27
10115100,31,ALMACEN NIVEL 2,5000
P8011,318,Sin Asignar,74573.48
10352415,2,ALMACEN NIVEL 2,29411.76
PM1025,266,Sin Asignar,3500
TO7091,200,Sin Asignar,35
11011172,5,ALMACEN NIVEL 3,106599.99
10310800,1,ALMACEN NIVEL 2,6857.26
PM1008,31662,Sin Asignar,610.34
73332000716,1122,ALMACEN NIVEL 1,145
10108100,9,ALMACEN NIVEL 2,464500
10360600,10,ALMACEN NIVEL 3,25000
TO705,880,Sin Asignar,100
PM1016,11805,Sin Asignar,640.6
72282381120,185,ALMACEN NIVEL 1,250
74423000014,1600,ALMACEN NIVEL 1,68.24
I5037,25,Sin Asignar,1959348.36
83021000,290,METALMECANICA,2222
72222000114,188,ALMACEN NIVEL 1,75.31
27022000,31,ALMACEN NIVEL 2,6100
S1006,2800,Sin Asignar,21956.28
MPC2023,7,ALMACEN NIVEL 2,-380885.78
P8023,85,Sin Asignar,24059.18
72222000003,634,ALMACEN NIVEL 1,147.71
10364600,26,ALMACEN NIVEL 2,136106.26
44011000,8600,ALMACEN NIVEL 1,1525.38
24011516,135,ALMACEN NIVEL 1,-1722.17
41191000,1000,ALMACEN NIVEL 1,3205.93
10124100,1031,ALMACEN NIVEL 1,150
TO726,3200,Sin Asignar,93
I5045,11837,Sin Asignar,1203.15
TO7016,5381,Sin Asignar,553.58
I509,72,Sin Asignar,37372
72261316114,352,ALMACEN NIVEL 1,250
P808,82,Sin Asignar,9050
72212038112,1000,ALMACEN NIVEL 1,666
P811,30,Sin Asignar,102100
F0006,21,Sin Asignar,2334313.71
10336600,388,ALMACEN NIVEL 2,1600
10123300,19,ALMACEN NIVEL 3,1970
29011316,200,ALMACEN NIVEL 2,672
T4016,23,Sin Asignar,16700.99
F008,3,Sin Asignar,3056562
11001100,10,ALMACEN NIVEL 3,40004.87
MPC2023,28506,Sin Asignar,-380885.78
P8030,3,Sin Asignar,238375
54051000,10,ALMACEN NIVEL 1,58487.38
T406,423,Sin Asignar,33319.16
31044451,30,ALMACEN NIVEL 1,11500
72282000212,500,ALMACEN NIVEL 1,250
D3012,4997,Sin Asignar,1157.8
I5042,45,Sin Asignar,99910.18
T4117,4,Sin Asignar,5882.35
10128100,974,ALMACEN NIVEL 1,150
I5012,510,Sin Asignar,7400
S1004,54,Sin Asignar,1582365.67
73313000014,1208,ALMACEN NIVEL 1,197.69
TO723,772,Sin Asignar,45
10120100,800,ALMACEN NIVEL 2,1250
92011000,150,DESCANSABRAZOS,2814.43
F006,14,Sin Asignar,2248452
72223000020,118,ALMACEN NIVEL 1,600
10405100,34,ALMACEN NIVEL 1,18510
TO7012,2500,Sin Asignar,179.3
10051,5,Sin Asignar,75630.25
T4105,70,Sin Asignar,12605
10126209,857,ALMACEN NIVEL 1,121.92
TO7070,20318,Sin Asignar,360.84
63011012080,91,METALMECANICA,26949.56
10127300,3110,ALMACEN NIVEL 1,150
F0017,14,Sin Asignar,44639.14
F0033,158,Sin Asignar,36000
T4022,36,Sin Asignar,7349.41
P8020,135,Sin Asignar,33000.09
74423000516,1000,ALMACEN NIVEL 1,149.93
61031000005,108,METALMECANICA,15000
T4010,5141,Sin Asignar,53433.03
P8012,43,Sin Asignar,23991.53
T4139,200,Sin Asignar,1500
T4051,6,Sin Asignar,34117.64
I5029,1164,Sin Asignar,17837.68
TO7025,3750,Sin Asignar,42.23
TO7082,3000,Sin Asignar,227.33
T4046,8,Sin Asignar,37812.61
61031000010,305,METALMECANICA,-18988.31
72213000615,1015,ALMACEN NIVEL 1,129.76
P8007,429,Sin Asignar,79001.85
TO7088,301,Sin Asignar,177.79
TO7063,10083,Sin Asignar,114.91
72212005162,48,ALMACEN NIVEL 1,250
42031000,600,ALMACEN NIVEL 1,672.72
35094000,7,ALMACEN NIVEL 1,13990.69
PM1026,1728,Sin Asignar,3262.96
TO721,900,Sin Asignar,46
CL4012,1732,Sin Asignar,1903.21
IM0003,14,Sin Asignar,-1466928
121050100,140,AUDIO Y VIDEO,274161.44
51022020,12500,ALMACEN NIVEL 2,24.22
I507,540,Sin Asignar,24640.59
I5008,9115,Sin Asignar,74861.11
TO7095,1800,Sin Asignar,28
T4035,140,Sin Asignar,10387.27
I5011,508,Sin Asignar,93713.66
56012000,697,ALMACEN NIVEL 1,14899.34
94011000,550,DESCANSABRAZOS,304.94
TO7081,48,Sin Asignar,7562.5
74412000038,1857,ALMACEN NIVEL 1,300
F0024,1704,Sin Asignar,3544.61
M2002,272,Sin Asignar,72436.17
72242014112,1202,ALMACEN NIVEL 1,500
10313100,9,ALMACEN NIVEL 1,4334.51
72261051634,800,ALMACEN NIVEL 1,370.11
TO7006,122962,Sin Asignar,249.65
111011012,52,MADERAS,96637.91
26031012,75,ALMACEN NIVEL 2,5203.66
P8002,840,Sin Asignar,37430.64
CL4014,690,Sin Asignar,3343.48
10359600,6,ALMACEN NIVEL 3,26923.07
111031055,22,MADERAS,67214.37
I5104,830,Sin Asignar,6040.07
I5052,840,Sin Asignar,19000
T4048,132,Sin Asignar,32110.14
TO7089,130,ALMACEN NIVEL 1,872.15
D3011,305,Sin Asignar,22365.57
27011012,92,ALMACEN NIVEL 2,628.01
I5059,2,Sin Asignar,84033
F0004,57,Sin Asignar,89280.51
74432000038,1500,ALMACEN NIVEL 1,299.94
53085000,900,ALMACEN NIVEL 1,364.25
TO7083,1370,Sin Asignar,614.16
TO7028,25,Sin Asignar,5068
I5103,116,Sin Asignar,193215.23
88011000,430,METALMECANICA,1811
TO7008,30737,Sin Asignar,253.84
26031012,80,ALMACEN NIVEL 1,5203.66
TO7058,1000,Sin Asignar,71.2
10308100,35,ALMACEN NIVEL 1,-561.11
10143100,21,ALMACEN NIVEL 3,457479.46
41161010,1500,ALMACEN NIVEL 1,1096.34
TO710,1500,Sin Asignar,145
72262000142,277,ALMACEN NIVEL 1,158
72211516112,395,ALMACEN NIVEL 1,250
TO7010,22710,Sin Asignar,147.71
I510,10,Sin Asignar,126050
10309800,28,ALMACEN NIVEL 2,6573.36
61011001848,1530,METALMECANICA,3361
10130100,480,ALMACEN NIVEL 2,450
53045000,1000,ALMACEN NIVEL 1,362.23
72213001070,293,ALMACEN NIVEL 1,1615
I5067,183,Sin Asignar,9224.04
PM102,1538,Sin Asignar,1590
I5033,1492,Sin Asignar,67715.15
TO7009,230,Sin Asignar,3775.48
72282014112,98,ALMACEN NIVEL 1,136
TO703,300,Sin Asignar,90
TO7078,1000,Sin Asignar,197
63031301514,1263,METALMECANICA,42642.31
122010100,33,AUDIO Y VIDEO,619877.76
TO7027,32800,Sin Asignar,78.47
51016020,10300,ALMACEN NIVEL 2,15
41151012,1618,ALMACEN NIVEL 1,1200
10330500,240,ALMACEN NIVEL 1,3816.13
P813,1,Sin Asignar,235000
72282516212,608,ALMACEN NIVEL 1,314.14
25011000,1100,ALMACEN NIVEL 1,142.11
12793055,197,Sin Asignar,57024.36
PM1005,12664,Sin Asignar,1157.45
PM1017,11014,Sin Asignar,627.5
10137100,87,ALMACEN NIVEL 1,125
122020100,6,AUDIO Y VIDEO,84034
P1025,520,Sin Asignar,3778
10132800,200,ALMACEN NIVEL 1,1400
72323114114,402,ALMACEN NIVEL 1,146.09
72211014112,212,ALMACEN NIVEL 1,346.04
121010200,31,AUDIO Y VIDEO,137419.35
74423000038,700,ALMACEN NIVEL 1,254
I5022,700,ALMACEN NIVEL 1,289.85
PM103,5275,Sin Asignar,487.8
52034002,1,ALMACEN NIVEL 3,54621.85
F0012,32,Sin Asignar,2004142.05
D3006,2793,Sin Asignar,1650
10140100,1516,ALMACEN NIVEL 2,5000
RS1,1,Sin Asignar,0
TO7074,11000,Sin Asignar,241.36
F0020,1078,Sin Asignar,7473
I5050,13200,Sin Asignar,732.67
I5022,21600,Sin Asignar,289.85
75534003834,1400,ALMACEN NIVEL 1,360
73332000038,500,ALMACEN NIVEL 1,95
F003,21,Sin Asignar,94433.14
10119100,130,ALMACEN NIVEL 3,3179.48
73313000008,1039,ALMACEN NIVEL 1,100
41042000,929,ALMACEN NIVEL 1,780
S1007,1,METALMECANICA,25438.27
TO7018,8800,Sin Asignar,62.68
P803,20,Sin Asignar,35800
72242038112,51,ALMACEN NIVEL 1,500
